Year,Site,Plot,Canola Genotype,Week,DAS,Phenotypic Stage,Block,Nitrate_N ,Ammonium_N,Root_Length,Root_Surface_Area,Average_Root_Diameter,Aboveground_biomass,Gravimetric_Moisture,pH,Seed_Yield,Thousand_Seed_Weight,Seed_N,NUE_crop,NHI,PFP,N_uptake,NUtE
2016,L,1237,NAM-14,6,53,Mid Flowering,2,8.36657424,5.528693955,317.37,89.62,0.9,2076,21.81372549,7.28,2516.527778,3.71,106.0741624,3.477841389,0.142010262,82.50910747,21.5120783,3.369084055
2016,L,1244,NAM-23,6,53,Mid Flowering,2,4.870509912,5.176875873,230.75,73.2,1.01,1968,26.32911392,7.03,3232.916667,3.9,121.6352567,3.988041202,0.118336476,105.9972678,29.60283686,3.145239101
2016,L,1245,NAM-5,6,53,Mid Flowering,2,5.6607164,3.711863053,276.74,60.38,0.69,2300,28.3887468,6.96,2244.166667,4.27,93.84880583,3.077010027,0.050491953,73.57923497,53.53022456,1.207392656
2016,L,1252,NAM-32,6,53,Mid Flowering,2,16.24857839,4.129429221,554.71,135.74,0.78,2304,24.37810945,6.96,1797.638889,4.59,90.924575,2.981133607,0.015379352,58.93897996,170.2690588,0.304059941
2016,L,1255,NAM-48,6,53,Mid Flowering,2,18.95905513,3.978352063,231.71,77.62,1.07,1408,24.93702771,7.07,2589.166667,4.35,103.2171292,3.384168169,0.042068955,84.89071038,70.6614491,1.055285463
2016,L,1302,NAM-5,6,53,Mid Flowering,3,10.39993248,2.48349499,116.95,34.81,0.95,916,26.58227848,7.03,1851.944444,4.45,82.24114889,2.696431111,0.065967061,60.71948998,35.90496594,1.48547697
2016,L,1303,NAM-0,6,53,Mid Flowering,3,3.565084065,5.134408269,231.15,77.01,1.06,2532,25.94458438,7.1,2334.305556,3.71,103.6828499,3.3994377,0.070025846,76.53460838,42.64234199,1.576555059
2016,L,1308,NAM-13,6,53,Mid Flowering,3,5.396486624,2.749906632,253.17,68.68,0.86,2868,20.82324455,7.21,2903.472222,3.98,118.2148715,3.875897427,0.04915701,95.19581056,69.25946738,1.207343966
2016,L,1309,NAM-72,6,53,Mid Flowering,3,5.406482145,3.79500962,68.16,18.25,0.85,2452.000001,23.82133995,7.26,2658.611111,4.21,113.4269844,3.718917523,0.055443729,87.16757741,58.91914535,1.29954363
2016,L,1316,NAM-30,6,53,Mid Flowering,3,10.35185257,4.39999842,272.09,83.02,0.97,1580,28.60824742,6.9,2209.305556,3.12,82.53081833,2.70592847,0.133953876,72.43624772,17.74407465,3.585873101
2016,L,1319,NAM-48,6,53,Mid Flowering,3,7.334163161,5.481201512,163.14,56.62,1.1,1648,27.48091603,7.17,2638.75,4.01,99.1589475,3.251113033,0.085801095,86.51639344,33.2836973,2.283279989
2016,L,1322,NAM-14,6,53,Mid Flowering,3,5.537259197,2.517441145,123.99,44.17,1.13,2360,25,7.04,2644.861111,3.7,115.7232531,3.794205018,0.071047808,86.71675774,46.90967667,1.623801429
2016,L,1327,NAM-76,6,53,Mid Flowering,3,7.075037148,4.938030471,98.76,35.14,1.13,2836,28.20512821,7.1,2662.638889,3.96,94.28404306,3.0912801,0.080181809,87.2996357,33.86529278,2.264383199
2016,L,1330,NAM-17,6,53,Mid Flowering,3,12.84457366,3.172048697,158.25,52.87,1.06,2956.000001,33.24468085,6.59,2212.222222,4.04,94.92424333,3.112270273,0.081831219,72.53187614,33.40801029,1.907087535
2016,L,1333,NAM-43,6,53,Mid Flowering,3,11.18739235,5.340254345,337.78,101.44,0.96,2052,26.58227848,6.72,1865.972222,5.06,94.45551389,3.096902095,0.0858912,61.17941712,31.67168221,1.696783885
2016,L,1337,NAM-23,6,53,Mid Flowering,3,5.785552669,3.973276854,177.43,74.1,1.33,2224,25.94458438,7.01,3231.527778,4.11,121.0401044,3.968528015,0.083899708,105.9517304,41.54907222,2.239953747
2016,L,1340,NAM-46,6,53,Mid Flowering,3,7.779664189,5.735172417,322,72.47,0.72,2060,32.71276596,6.94,2575.833333,3.85,122.9033117,4.029616776,0.05158108,84.45355191,68.62235917,1.081047065
2016,L,1343,NAM-37,6,53,Mid Flowering,3,4.78140554,5.311550295,303.48,80.1,0.84,1572,24.81203008,6.97,2585.972222,4.14,106.5187818,3.492419076,0.090071379,84.7859745,34.05899809,2.186676185
2016,L,1346,NAM-32,6,53,Mid Flowering,3,10.36523459,1.986122338,228.63,74.45,1.04,2468,31.49606299,7.11,2247.638889,4.42,98.95454972,3.244411466,0.063172007,73.69307832,45.11319465,1.43487954
2016,L,1355,NAM-79,6,53,Mid Flowering,3,7.746899009,4.613816706,124.13,45.48,1.17,2188,27.55102041,7,1523.888889,4.37,67.33150667,2.207590383,0.091239121,49.96357013,21.25346417,2.064981015
2016,L,1101,NAM-94,8,67,Physiological Maturity,1,12.7900747,5.529254122,464.09,85.85,0.59,2336,26.64974619,6.05,2680.833333,3.69,112.14462,3.676872787,0.070046126,87.89617486,46.10911743,1.674462759
2016,L,1102,NAM-37,8,67,Physiological Maturity,1,10.93207736,4.002409533,287.86,64.79,0.72,2120,24.18952618,7.07,2510.138889,4.35,114.8639556,3.76603133,0.110661415,82.2996357,29.89372508,2.418300155
2016,L,1108,NAM-0,8,67,Physiological Maturity,1,10.00686864,4.18057565,601.35,113.69,0.6,3268,17.96690307,7.43,2153.472222,3.61,98.07343194,3.215522359,0.054333462,70.60564663,51.98481225,1.193040762
2016,L,1109,NAM-43,8,67,Physiological Maturity,1,14.6502999,4.843439309,275.06,63.06,0.73,1748,26.32911392,7.43,1921.111111,5.4,97.81529333,3.207058798,0.064968555,62.98724954,43.36067558,1.275994879
2016,L,1115,NAM-13,8,67,Physiological Maturity,1,7.204327253,3.98829172,373.94,88.16,0.75,3404,25.6281407,7.15,2960.555556,3.85,112.4182156,3.685843133,0.072286514,97.06739526,44.78905411,1.903679408
2016,L,1116,NAM-46,8,67,Physiological Maturity,1,6.647442141,3.837454991,262.55,81.39,0.99,2084,29.79274611,7.14,1827.222222,3.39,85.19058167,2.793133825,0.079745404,59.90892532,30.76652214,1.71043057
2016,L,1122,NAM-14,8,67,Physiological Maturity,1,22.08876536,5.201690128,233.35,92.74,1.27,1432,22.24938875,6.96,2805.972222,3.61,130.413171,4.275841671,0.102093324,91.99908925,36.78888274,2.196641865
2016,L,1123,NAM-48,8,67,Physiological Maturity,1,38.39849665,3.948156689,153.69,24.6,0.51,2908,28.02056555,7.09,2004.861111,4.38,77.39966806,2.537694035,0.053955714,65.73315118,41.31370467,1.397599186
2016,L,1129,NAM-17,8,67,Physiological Maturity,1,15.54777711,4.52411542,268.89,96.18,1.14,1752,27.43589744,6.96,2060.694444,3.63,93.48546417,3.065097186,0.040476284,67.56375228,66.51750307,0.892216293
2016,L,1130,NAM-5,8,67,Physiological Maturity,1,8.612088876,4.4767704,274.23,78.78,0.91,2488,23.6318408,7.31,2166.527778,4.2,92.57139889,3.035127832,0.062679388,71.03369763,42.53481669,1.466939436
2016,L,1136,NAM-23,8,67,Physiological Maturity,1,8.52294773,4.784523577,301.49,77.91,0.82,3040,26.83544304,7.4,3298.75,3.73,130.4655625,4.277559426,0.059165697,108.1557377,63.50653124,1.495972117
2016,L,1137,NAM-72,8,67,Physiological Maturity,1,8.341912436,3.69505395,192.12,58.47,0.97,2460,28.79177378,7.39,2028.333333,3.97,88.34608667,2.896593005,0.068825983,66.50273224,36.96812167,1.58017225
2016,L,1143,NAM-30,8,67,Physiological Maturity,1,4.435264723,3.939306505,236.11,59.82,0.81,3280,24.81389578,6.88,1808.888889,3.29,74.44482222,2.440813843,0.053300862,59.30783242,40.22469441,1.295124817
2016,L,1144,NAM-76,8,67,Physiological Maturity,1,9.847709812,5.234967353,410.67,76.56,0.59,2232,27.2264631,7.06,3314.583333,3.93,141.9370875,4.653675,0.073251088,108.6748634,55.80515255,1.710594733
2016,L,1151,NAM-79,8,67,Physiological Maturity,1,19.50629756,4.720203685,345.55,79.74,0.73,3544,26.2086514,7.61,1518.194444,4.3,77.51445375,2.5414575,0.039810166,49.77686703,56.07653804,0.779720031
2016,L,1203,NAM-13,8,67,Physiological Maturity,2,29.62450099,4.60723874,431.2,76.39,0.56,2880,27.55102041,7.3,2946.388889,4.22,117.0246739,3.836874554,0.0474559,96.60291439,71.01984312,1.194821
2016,L,1207,NAM-43,8,67,Physiological Maturity,2,15.86864198,4.873832114,295.64,45.76,0.49,2576,26.19647355,7.44,1569.305556,4.91,82.02760139,2.689429554,0.052394349,51.45264117,45.08873502,1.002378975
2016,L,1208,NAM-37,8,67,Physiological Maturity,2,10.89077533,4.380747248,683.1,113.17,0.53,2192,20,7.24,2320.555556,4.16,106.200225,3.48197459,0.057951669,76.08378871,52.77788408,1.266287976
2016,L,1211,NAM-30,8,67,Physiological Maturity,2,7.910507531,4.260038718,252.21,63.84,0.81,4464,26.26262626,6.98,1740.972222,3.24,70.39795278,2.308129599,0.079448212,57.08105647,25.51927838,1.9647891
2016,L,1215,NAM-72,8,67,Physiological Maturity,2,5.618429633,4.271429575,224.95,52.35,0.74,2640,29.87012987,7.3,2309.583333,4.42,106.4025042,3.488606694,0.045707392,75.72404372,67.04368742,0.992129201
2016,L,1218,NAM-17,8,67,Physiological Maturity,2,8.058816145,3.627555138,423.01,126.93,0.96,2084,30.89005236,6.67,2185.277778,3.82,91.37301972,2.995836712,0.066328193,71.64845173,39.67457639,1.586305532
2016,L,1225,NAM-0,8,67,Physiological Maturity,2,16.13749001,3.442100491,328.35,110.11,1.07,3096,25.50505051,7.34,2500,4.04,120.4425,3.948934426,0.037329279,81.96721311,92.922876,0.774836112
2016,L,1229,NAM-76,8,67,Physiological Maturity,2,12.06844191,4.561904785,205.68,65.99,1.02,1996,29.79274611,7.13,2352.083333,3.97,95.14177083,3.119402322,0.110250567,77.11748634,24.85323264,2.725601171
2016,L,1230,NAM-94,8,67,Physiological Maturity,2,9.09047066,4.852596001,358.26,108.34,0.96,1184,29.53367876,7.28,2797.5,3.99,120.0938775,3.93750418,0.093684982,91.72131148,36.91844321,2.182323874
2016,L,1236,NAM-79,8,67,Physiological Maturity,2,24.91443372,5.143402132,344.84,92.26,0.85,2832,23.76237624,7.51,1299.722222,4.42,63.40564889,2.078873734,0.034806728,42.61384335,52.46349694,0.713486561
2016,L,1237,NAM-14,8,67,Physiological Maturity,2,9.462234352,3.970908195,378.29,112.56,0.95,1448,26.44836272,7.08,2516.527778,3.71,106.0741624,3.477841389,0.142010262,82.50910747,21.5120783,3.369084055
2016,L,1244,NAM-23,8,67,Physiological Maturity,2,9.503680998,3.919008249,422.52,70.3,0.53,4016,29.71576227,7.19,3232.916667,3.9,121.6352567,3.988041202,0.118336476,105.9972678,29.60283686,3.145239101
2016,L,1245,NAM-5,8,67,Physiological Maturity,2,6.520693456,4.655418704,683.07,113.17,0.53,1980,27.69230769,7.23,2244.166667,4.27,93.84880583,3.077010027,0.050491953,73.57923497,53.53022456,1.207392656
2016,L,1252,NAM-32,8,67,Physiological Maturity,2,20.35868185,3.734168357,413.78,98.09,0.75,408,27.41116751,7.06,1797.638889,4.59,90.924575,2.981133607,0.015379352,58.93897996,170.2690588,0.304059941
2016,L,1255,NAM-48,8,67,Physiological Maturity,2,7.966736437,3.797380429,456.51,104.87,0.73,2812,24.87437186,7.22,2589.166667,4.35,103.2171292,3.384168169,0.042068955,84.89071038,70.6614491,1.055285463
2016,L,1303,NAM-0,8,67,Physiological Maturity,3,23.40098959,4.024812279,365.11,91.19,0.8,2476,27.87723785,6.96,2334.305556,3.71,103.6828499,3.3994377,0.070025846,76.53460838,42.64234199,1.576555059
2016,L,1308,NAM-13,8,67,Physiological Maturity,3,6.622905798,4.51962654,136.5,68.59,1.6,2312,24.87562189,7.32,2903.472222,3.98,118.2148715,3.875897427,0.04915701,95.19581056,69.25946738,1.207343966
2016,L,1309,NAM-72,8,67,Physiological Maturity,3,9.128815312,5.456329993,144.97,77.68,1.71,3422.4,28.60824742,7.13,2658.611111,4.21,113.4269844,3.718917523,0.055443729,87.16757741,58.91914535,1.29954363
2016,L,1316,NAM-30,8,67,Physiological Maturity,3,2.385217659,5.467253122,248.84,64.76,0.83,2924,31.84210526,7.18,2209.305556,3.12,82.53081833,2.70592847,0.133953876,72.43624772,17.74407465,3.585873101
2016,L,1319,NAM-48,8,67,Physiological Maturity,3,8.673736098,4.485569067,282.48,68.43,0.77,1804,29.87012987,7.3,2638.75,4.01,99.1589475,3.251113033,0.085801095,86.51639344,33.2836973,2.283279989
2016,L,1322,NAM-14,8,67,Physiological Maturity,3,7.813525775,4.37760599,300.04,66.36,0.7,4312,28.46153846,7.12,2644.861111,3.7,115.7232531,3.794205018,0.071047808,86.71675774,46.90967667,1.623801429
2016,L,1327,NAM-76,8,67,Physiological Maturity,3,12.48511305,6.419500802,199.3,66.59,1.06,2416,26.19647355,7.38,2662.638889,3.96,94.28404306,3.0912801,0.080181809,87.2996357,33.86529278,2.264383199
2016,L,1330,NAM-17,8,67,Physiological Maturity,3,14.66992226,5.285560871,40.64,33.66,2.64,2230,28.13299233,6.54,2212.222222,4.04,94.92424333,3.112270273,0.081831219,72.53187614,33.40801029,1.907087535
2016,L,1333,NAM-43,8,67,Physiological Maturity,3,4.358770682,4.187183755,245.72,55.44,0.72,2260,26.44836272,6.88,1865.972222,5.06,94.45551389,3.096902095,0.0858912,61.17941712,31.67168221,1.696783885
2016,L,1337,NAM-23,8,67,Physiological Maturity,3,4.518222408,4.835841561,61.23,86.84,4.51,3388,28.71794872,7.28,3231.527778,4.11,121.0401044,3.968528015,0.083899708,105.9517304,41.54907222,2.239953747
